job_id,job_title,job_url,location,job_type,business_unit,publish_time,page,card_text,snapshot_time,department,experience,education,responsibilities,requirements,tags,full_text
,游戏PV设计师,#/job/ab238828-4ef5-42a8-b3b0-4b6ed5054eb3,上海,策划,完美世界游戏,2026-03-02,1,急 游戏PV设计师 发布于 2026-03-02 全职 全职 | 美术设计类 美术设计类 | 本科 本科 | 上海市 上海市 完美世界游戏 岗位职责：1. 负责二次元游戏角色PV的全流程制作，包括创意设计、分镜脚本及后期制作，确保最终成片质量达到预期效果；2. 负责视频结构创意节奏的整体把控，能够独立完成引擎镜头制作、剪辑包装等全流程视频工作。任职要求：1. 熟练掌握 Unity/Unreal 的场景、角色、动作的导入和镜头、灯光的相关操作；2. 3年以上视频包装制作经验，精通PR、AE等专业剪辑软件，具备从创意构思到成片输出的全流程制作能力；3. 1年以上动漫/游戏/CG行业导演/编导经验者优先，具备专业分镜脚本绘制能力者更佳；4. 对二次元文化有深刻理解，具备出色的创意策划和视觉表现能力；5. 具备优秀的团队协作能力，能够高效统筹资源并把控项目进度与质量；6. 工作责任心强，学习能力强，富有创作热情，追求卓越的作品品质。 岗位职责： 1. 负责二次元游戏角色PV的全流程制作，包括创意设计、分镜脚本及后期制作，确保最终成片质量达到预期效果； 2. 负责视频结构创意节奏的整体把控，能够独立完成引擎镜头制作、剪辑包装等全流程视频工作。 任职要求： 1. 熟练掌握 Unity/Unreal 的场景、角色、动作的导入和镜头、灯光的相关操作； 2. 3年以上视频包装制作经验，精通PR、AE等专业剪辑软件，具备从创意构思到成片输出的全流程制作能力； 3. 1年以上动漫/游戏/CG行业导演/编导经验者优先，具备专业分镜脚本绘制能力者更佳； 4. 对二次元文化有深刻理解，具备出色的创意策划和视觉表现能力； 5. 具备优秀的团队协作能力，能够高效统筹资源并把控项目进度与质量； 6. 工作责任心强，学习能力强，富有创作热情，追求卓越的作品品质。 立即投递,2026-03-14 17:17:47,,,,,,,"[detail_parse_error] Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#/job/ab238828-4ef5-42a8-b3b0-4b6ed5054eb3"", waiting until ""domcontentloaded""
"
27,游戏市场营销策划（韩国区）,#/job/27a030e0-ca97-4a96-a841-f207ee10f420,上海,策划,完美世界游戏,2026-03-02,1,急 游戏市场营销策划（韩国区） 发布于 2026-03-02 全职 全职 | 市场&商务类 市场&商务类 | 本科 本科 | 上海市 上海市 完美世界游戏 岗位职责:1. 结合产品特点，针对韩国地区游戏用户群体，策划全阶段市场推广方案；2. 负责产品前期调研，分析产品市场定位、用户圈层、竞品情况；提炼产品卖点和市场宣传方向；3. 能独立跟进产品营销推广工作的落地执行，推进宣发筹备进度，执行能力强，具风险管控意识；4. 推动相关部门协作，推动组织内和平台间各项合作。工作要求:1. 3年以上海外市场营销工作经验，韩语能作为工作语言使用；2. 熟悉韩语地区地域文化，熟知海外游戏用户的主要触媒习惯；3. 紧抓市场热点，具备创意能力，敢于发散构思并落地执行方案。 岗位职责: 1. 结合产品特点，针对韩国地区游戏用户群体，策划全阶段市场推广方案； 2. 负责产品前期调研，分析产品市场定位、用户圈层、竞品情况；提炼产品卖点和市场宣传方向； 3. 能独立跟进产品营销推广工作的落地执行，推进宣发筹备进度，执行能力强，具风险管控意识； 4. 推动相关部门协作，推动组织内和平台间各项合作。 工作要求: 1. 3年以上海外市场营销工作经验，韩语能作为工作语言使用； 2. 熟悉韩语地区地域文化，熟知海外游戏用户的主要触媒习惯； 3. 紧抓市场热点，具备创意能力，敢于发散构思并落地执行方案。 立即投递,2026-03-14 17:17:47,,,,,,,"[detail_parse_error] Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#/job/27a030e0-ca97-4a96-a841-f207ee10f420"", waiting until ""domcontentloaded""
"
6,海外游戏素材策划,#/job/6cee01aa-eeb9-48f7-a2ca-a450a4465cc2,上海,策划,完美世界游戏,2026-03-02,1,急 海外游戏素材策划 发布于 2026-03-02 全职 全职 | 市场&商务类 市场&商务类 | 本科 本科 | 上海市 上海市 完美世界游戏 岗位职责：1、 深度理解游戏设计思路、IP内核、世界观设定与角色人设，精准提炼产品核心卖点与版本亮点，转化为具有强传播力的官方内容创意；2、 负责游戏官方品宣平面、视频素材（CG/ PV/ 角色演示/ 版本先导片/ 品牌TVC等）的全案策划与落地执行；3、 统筹官方内容从创意到落地的全流程生产，对接内部美术、设计等管线，协调供应商（动画公司、影视制作团队、CG团队），确保项目准时、高质量交付；4、 独立完成高质量的内容方案、创意脚本及分镜头脚本撰写，确保内容既能精准传达游戏调性，又能打动核心用户及泛二次元/目标受众；5、 具备高级视觉审美能力，对影片的风格、节奏、色彩、构图、音乐音效及叙事张力有敏锐的把控力，对成片品质负责。任职要求：1、3年以上游戏发行公司素材策划工作经验，具备良好的创意和审美能力，有完整的大型游戏宣发项目经历者优先；2、熟悉原画制作流程和审美，能独立完成高品质的视频宣传脚本及分镜设计，有成功落地的高品质PV/ CG/ 品牌片案例者优先；3、美术、设计、影视、编导、广告等相关专业背景，或具备经过项目验证的顶尖审美能力，对视觉艺术有强烈的敏感性；4、了解主流绘图软件、视频后期软件及三维制作流程，能以此与制作团队高效沟通、准确传达需求5、熟悉二次元内容社区生态，对二次元玩家内容偏好有深度认知。6、有海外素材制作经验，熟悉日/韩/欧美市场用户的审美偏好与文化禁忌加分。 岗位职责： 1、 深度理解游戏设计思路、IP内核、世界观设定与角色人设，精准提炼产品核心卖点与版本亮点，转化为具有强传播力的官方内容创意； 2、 负责游戏官方品宣平面、视频素材（CG/ PV/ 角色演示/ 版本先导片/ 品牌TVC等）的全案策划与落地执行； 3、 统筹官方内容从创意到落地的全流程生产，对接内部美术、设计等管线，协调供应商（动画公司、影视制作团队、CG团队），确保项目准时、高质量交付； 4、 独立完成高质量的内容方案、创意脚本及分镜头脚本撰写，确保内容既能精准传达游戏调性，又能打动核心用户及泛二次元/目标受众； 5、 具备高级视觉审美能力，对影片的风格、节奏、色彩、构图、音乐音效及叙事张力有敏锐的把控力，对成片品质负责。 任职要求： 1、3年以上游戏发行公司素材策划工作经验，具备良好的创意和审美能力，有完整的大型游戏宣发项目经历者优先； 2、熟悉原画制作流程和审美，能独立完成高品质的视频宣传脚本及分镜设计，有成功落地的高品质PV/ CG/ 品牌片案例者优先； 3、美术、设计、影视、编导、广告等相关专业背景，或具备经过项目验证的顶尖审美能力，对视觉艺术有强烈的敏感性； 4、了解主流绘图软件、视频后期软件及三维制作流程，能以此与制作团队高效沟通、准确传达需求 5、熟悉二次元内容社区生态，对二次元玩家内容偏好有深度认知。 6、有海外素材制作经验，熟悉日/韩/欧美市场用户的审美偏好与文化禁忌加分。 立即投递,2026-03-14 17:17:47,,,,,,,"[detail_parse_error] Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#/job/6cee01aa-eeb9-48f7-a2ca-a450a4465cc2"", waiting until ""domcontentloaded""
"
5,游戏制作人/工作室负责人,#/job/5fd377d1-5b91-4dba-8cc8-5ef653a90445,北京,策划,完美世界游戏,2026-01-28,1,急 游戏制作人/工作室负责人 发布于 2026-01-28 全职 全职 | 游戏策划类 游戏策划类 | 北京市 北京市 完美世界游戏 工作职责负责统筹游戏项目管理和团队管理确定产品战略方向和核心玩法与发行合作确定产品global发行策略；或者有0-1搭建发行团队能力福利与待遇base地不限有竞争力的激励政策配套的发行、IP等资源 工作职责 负责统筹游戏项目管理和团队管理 确定产品战略方向和核心玩法 与发行合作确定产品global发行策略；或者有0-1搭建发行团队能力 福利与待遇 base地不限 有竞争力的激励政策 配套的发行、IP等资源 立即投递,2026-03-14 17:17:47,,,,,,,"[detail_parse_error] Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#/job/5fd377d1-5b91-4dba-8cc8-5ef653a90445"", waiting until ""domcontentloaded""
"
,UI设计师（二次元）,#/job/d37305d2-5111-480e-91c2-8308f16674bc,北京,设计,完美世界游戏,2026-03-13,1,UI设计师（二次元） 发布于 2026-03-13 全职 全职 | 美术设计类 美术设计类 | 北京市 北京市 完美世界游戏 岗位职责：- 主导游戏UI视觉风格定位与定制化设计。- 运用AI工具进行高效灵感探索、风格试错与资产生成。- 完成全套GUI界面设计，建立并维护UI设计规范。- 推动设计落地，对最终视觉品质和用户体验负责。任职要求：- 3年以上游戏UI设计经验，有成功的风格定制案例。- 卓越的风格化设计能力与扎实的手绘功底。- 具备使用AI工具（如SD/MJ）辅助UI设计的能力，并能进行专业级二次创作。- 精通Figma/PS/AI等软件，具备出色的审美、沟通和团队协作能力。加分项： 具备UI动效设计能力，了解游戏引擎UI系统，有AI动效生成或模型训练经验。请附上个人简历与作品集，作品集需清晰展示您的风格定制能力，并欢迎体现AI辅助应用的作品。 岗位职责： - 主导游戏UI视觉风格定位与定制化设计。 - 运用AI工具进行高效灵感探索、风格试错与资产生成。 - 完成全套GUI界面设计，建立并维护UI设计规范。 - 推动设计落地，对最终视觉品质和用户体验负责。 任职要求： - 3年以上游戏UI设计经验，有成功的风格定制案例。 - 卓越的风格化设计能力与扎实的手绘功底。 - 具备使用AI工具（如SD/MJ）辅助UI设计的能力，并能进行专业级二次创作。 - 精通Figma/PS/AI等软件，具备出色的审美、沟通和团队协作能力。 加分项： 具备UI动效设计能力，了解游戏引擎UI系统，有AI动效生成或模型训练经验。 请附上个人简历与作品集，作品集需清晰展示您的风格定制能力，并欢迎体现AI辅助应用的作品。 立即投递,2026-03-14 17:17:47,,,,,,,"[detail_parse_error] Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#/job/d37305d2-5111-480e-91c2-8308f16674bc"", waiting until ""domcontentloaded""
"
03114142,C++客户端开发工程师,#/job/03114142-9265-41d2-a7c0-b09c107bda72,北京,测试,完美世界游戏,2026-03-12,1,C++客户端开发工程师 发布于 2026-03-12 全职 全职 | 游戏程序类 游戏程序类 | 北京市 北京市 完美世界游戏 岗位职责：1、负责游戏客户端模块的设计、开发与维护；2、参与游戏核心功能系统的编码实现，确保代码质量和性能；3、配合策划、美术、测试等团队，完成游戏功能需求的落地与优化；任职要求：1、计算机相关专业本科及以上学历，热爱编程和技术，对游戏开发有浓厚兴趣；2、熟悉C++语言，拥有扎实的数据结构和算法基础；3、喜欢游戏，愿意在游戏行业长期发展，具备较强的学习能力和自驱力；4、具备良好的沟通能力和团队合作意识，乐于接受挑战和解决问题。 岗位职责： 1、负责游戏客户端模块的设计、开发与维护； 2、参与游戏核心功能系统的编码实现，确保代码质量和性能； 3、配合策划、美术、测试等团队，完成游戏功能需求的落地与优化； 任职要求： 1、计算机相关专业本科及以上学历，热爱编程和技术，对游戏开发有浓厚兴趣； 2、熟悉C++语言，拥有扎实的数据结构和算法基础； 3、喜欢游戏，愿意在游戏行业长期发展，具备较强的学习能力和自驱力； 4、具备良好的沟通能力和团队合作意识，乐于接受挑战和解决问题。 立即投递,2026-03-14 17:17:47,,,,,,,"[detail_parse_error] Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#/job/03114142-9265-41d2-a7c0-b09c107bda72"", waiting until ""domcontentloaded""
"
,游戏测试组长（在研手游）,#/job/d4614f21-00fd-436c-a78f-386b1ae19f4d,广州,研发,完美世界游戏,2026-03-12,1,游戏测试组长（在研手游） 发布于 2026-03-12 全职 全职 | 游戏程序类 游戏程序类 | 本科 本科 | 广东·广州市 广东·广州市 完美世界游戏 职位描述:1、负责项目各功能模块的日常质量保障，对发布质量负责；2、分析策划的文档需求，以此为依据撰写测试计划和测试用例；3、和策划、研发沟通配合，定位和解决问题，提交测试结果；4、发现并提交BUG，推动BUG的解决；职位要求：1、统招本科及以上，计算机相关专业优先；2、5年以上游戏测试工作经验，具备海外多地区发行游戏项目经验优先；3、代码能力扎实，至少掌握一门编程语言，熟练掌握常用测试工具（如Postman、JMeter等），能够独立编写脚本或独立搭建自动化框架能力者优先；4、熟悉游戏研发流程，能够发现流程问题，给出改进方案并推进落地；5、测试广度和深度兼备，熟悉性能测试、兼容性测试、接口测试、服务器压测容灾等专项测试工作，能够主导各类专项测试工作的开展;6、具备优秀的沟通能力和团队协作精神，逻辑清晰，积极主动，能够很好的开展不同职能、不同项目之间的合作，对待工作有责任心；7、热爱游戏，有较强的学习能力，乐于探索，敢于承担责任和挑战。 职位描述: 1、负责项目各功能模块的日常质量保障，对发布质量负责； 2、分析策划的文档需求，以此为依据撰写测试计划和测试用例； 3、和策划、研发沟通配合，定位和解决问题，提交测试结果； 4、发现并提交BUG，推动BUG的解决； 职位要求： 1、统招本科及以上，计算机相关专业优先； 2、5年以上游戏测试工作经验，具备海外多地区发行游戏项目经验优先； 3、代码能力扎实，至少掌握一门编程语言，熟练掌握常用测试工具（如Postman、JMeter等），能够独立编写脚本或独立搭建自动化框架能力者优先； 4、熟悉游戏研发流程，能够发现流程问题，给出改进方案并推进落地； 5、测试广度和深度兼备，熟悉性能测试、兼容性测试、接口测试、服务器压测容灾等专项测试工作，能够主导各类专项测试工作的开展; 6、具备优秀的沟通能力和团队协作精神，逻辑清晰，积极主动，能够很好的开展不同职能、不同项目之间的合作，对待工作有责任心； 7、热爱游戏，有较强的学习能力，乐于探索，敢于承担责任和挑战。 立即投递,2026-03-14 17:17:47,,,,,,,"[detail_parse_error] Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#/job/d4614f21-00fd-436c-a78f-386b1ae19f4d"", waiting until ""domcontentloaded""
"
,游戏运营,#/job/ecab45bf-7585-4f03-8ade-3f9f130512a1,北京,测试,完美世界游戏,2026-03-12,1,游戏运营 发布于 2026-03-12 全职 全职 | 产品&运营类 产品&运营类 | 本科 本科 | 北京市 北京市 完美世界游戏 岗位职责：1、能透彻了解产品，深入了解用户属性，结合产品现状及用户需求对产品提出可行性优化建议；2、能根据游戏环境针对性的打击游戏外挂行为，制定打击策略，保证其准确性、及时性；3、基于拉新、促活、留存等指标策划游戏相关活动，完成文档更定，并推进整个活动的测试及上线；4、负责游戏服务器的筹备、开服、合服等相关工作；5、负责产品资料的撰写和维护。任职资格：1、大学本科及以上学历，有相关工作经验者优先；2、热爱游戏，拥有多款网络游戏深入游玩经验，对游戏运营有较深了解；有老牌经典mmorpg类网游经验优先；3、具有一定的数据分析能力，且具备足够的敏感度；4.、具有良好的沟通能力和文字总结能力，对工作进度可以有宏观上的把控；5.、可以熟练的使用Viso、Axure、Excel，PPT，Word，MindMaster（XMind）、photoshop等常用工具；6、工作认真细心，执行能力强，具有强烈的责任心 岗位职责： 1、能透彻了解产品，深入了解用户属性，结合产品现状及用户需求对产品提出可行性优化建议； 2、能根据游戏环境针对性的打击游戏外挂行为，制定打击策略，保证其准确性、及时性； 3、基于拉新、促活、留存等指标策划游戏相关活动，完成文档更定，并推进整个活动的测试及上线； 4、负责游戏服务器的筹备、开服、合服等相关工作； 5、负责产品资料的撰写和维护。 任职资格： 1、大学本科及以上学历，有相关工作经验者优先； 2、热爱游戏，拥有多款网络游戏深入游玩经验，对游戏运营有较深了解；有老牌经典mmorpg类网游经验优先； 3、具有一定的数据分析能力，且具备足够的敏感度； 4.、具有良好的沟通能力和文字总结能力，对工作进度可以有宏观上的把控； 5.、可以熟练的使用Viso、Axure、Excel，PPT，Word，MindMaster（XMind）、photoshop等常用工具； 6、工作认真细心，执行能力强，具有强烈的责任心 立即投递,2026-03-14 17:17:47,,,,,,,"[detail_parse_error] Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#/job/ecab45bf-7585-4f03-8ade-3f9f130512a1"", waiting until ""domcontentloaded""
"
48,游戏关卡策划【P5X】,#/job/48a86d78-d991-4f69-8e1f-7e62eccf1d69,北京,测试,完美世界游戏,2026-03-11,1,游戏关卡策划【P5X】 发布于 2026-03-11 全职 全职 | 游戏策划类 游戏策划类 | 北京市 北京市 完美世界游戏 职位职责1.负责游戏内箱庭式关卡的设计与落地，包括关卡布局、流程节奏、机关解谜、怪物布置等，结合剧情主题打造兼具趣味性、挑战性与沉浸感的关卡体验。2.提交关卡相关资源需求，与美术沟通完成包括场景、物件、角色等资源的制作。3.协同美术、程序、测试等相关岗位，高效推进关卡流程和玩法机制的开发迭代，产出高品质的关卡内容。职位要求1.3年以上关卡策划相关工作经验，熟悉关卡制作流程，具备较好的关卡设计能力。2.擅长设计关卡内解谜事件及机关，对关卡场景交互有自己的思考和总结。3.在关卡设计工作上有一定经验积累，可以熟练使用至少一款关卡设计工具。4.可以熟练使用Unity编辑器者优先。5.资深日系RPG或JRPG游戏玩家优先。 职位职责 1.负责游戏内箱庭式关卡的设计与落地，包括关卡布局、流程节奏、机关解谜、怪物布置等，结合剧情主题打造兼具趣味性、挑战性与沉浸感的关卡体验。 2.提交关卡相关资源需求，与美术沟通完成包括场景、物件、角色等资源的制作。 3.协同美术、程序、测试等相关岗位，高效推进关卡流程和玩法机制的开发迭代，产出高品质的关卡内容。 职位要求 1.3年以上关卡策划相关工作经验，熟悉关卡制作流程，具备较好的关卡设计能力。 2.擅长设计关卡内解谜事件及机关，对关卡场景交互有自己的思考和总结。 3.在关卡设计工作上有一定经验积累，可以熟练使用至少一款关卡设计工具。 4.可以熟练使用Unity编辑器者优先。 5.资深日系RPG或JRPG游戏玩家优先。 立即投递,2026-03-14 17:17:47,,,,,,,"[detail_parse_error] Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""#/job/48a86d78-d991-4f69-8e1f-7e62eccf1d69"", waiting until ""domcontentloaded""
"
